== ALL OBJECTS ==
American Flag | effortless | this donut shop is america-certified. LAND OF THE FREEE BABY!!!!!!!! (Hidden in City)
Anchor | effortless | in the water (Hidden in Goiky)
Bacon | effortless | right next to a fire (Hidden in Snowy)
Barbecue Sauce | effortless | look behind gelatin's steakhouse, which for the sake of the game has NOT been remade into gelatin's shadeshouse
Basketball | effortless | seems like someone has been shooting some hoops (Hidden in City)
Bell | effortless | whats at the top? (Hidden in Goiky)
Big Nickel | effortless | he's so big i don't know how you wouldn't find him
Birthday Cake | effortless | happy birthday! (it isn't your birthday) [Hidden in Candyland]
Bomby | effortless | explode! (Hidden at Hotel)
Book | effortless | In the City - where would you be most likely to find an annoying know-it-all?
Boombox | effortless | [Hidden in the Yoyleland Realm]
Burrito | effortless | i've always had a soft spot for burritos (Hidden in Tropical Islands)
Bushy | effortless | haha, nice try! but you arent fooling anyone. (Hidden at Hotel)
Cactus | effortless | they thought they could blend in lol!!! (Hidden in Desert)
Camera | effortless | filmin and stuff (Hidden in City)
Cereal Box | effortless | bet you can't guess where this is oh wow this is so hard
Chalk | effortless | hmmmmm (Hidden in City)
Christmas Tree | effortless | Look near spawn- wait it's not even December WHO ON EARTH PUT UP THEIR CHRISTMAS TREE?!
Clock | effortless | tick... tock... tick... tock... ringalingalingaling (Hidden in Number Playground)
Cream Cookie | effortless | there is a very obvious way up at candyland
Diploma | effortless | congratulations you graduated high school now it's time for your life to turn to hell (Hidden in Classic Roblox)
Eight | effortless | on the top of a hill (Hidden in Number Playground)
Evil Leafy | effortless | look at that forest, lets go in! (Hidden in Goiky)
Eyes in the Dark | effortless | [Hidden in the Yoyleland Realm]
Fairy Floss | effortless | hmmm i wonder where this one is hmmmmmm
Fanny | effortless | she's somewhere awfully hot
Fifteen | effortless | LEAVE!!!! (Hidden in Floating Island)
Firey | effortless | you seriously need a hint for this?
First Aid Kit | effortless | i don't quite understand why they're at the warehouse of all places
Fish Monster | effortless | look on the beaches
Fishy | effortless | we're surrounding by fish, you know what that means? FISH!!!!!! (Hidden at Hotel)
Five | effortless | hanging out with three (Hidden in Number Playground)
Flower | effortless | look inside that house?
Flower Cake | effortless | OH MY FLOWER CAKE (Hidden in Floating Island)
Flower Jr. | effortless | she's admiring a masterpiece (Hidden in Floating Island)
Fries | effortless | i cant belive he managed to get his own resturant! (Hidden in City)
Fruit Cake | effortless | they're chilling near the hotel
Funny Plant | effortless | Have you accidentally killed a plant and want to revive it? Then why don't you set it on fire? And then freeze it? Let it grow on the sun? Or zap it? Make it a fancy dinner? Or feed it to a fish monster? Or push it off a cliff? Dance on it? Explode it? Vomit on it? Play with it underwater?
Gaty | effortless | wonder where she is being used for? (Hidden in Snowy)
Gelatin | effortless | tbh his resturant is much better then fries' (Hidden in City)
Golf Ball | effortless | sitting down is so nice (Hidden in Goiky)
Grassy | effortless | chillin in the grass (Hidden in Goiky)
Hand-Powered Recovery Center | effortless | [Hidden in the Yoyleland Realm]
Hot Cocoa | effortless | i tried hot cocoa a few months ago i didnt like it. man, these descriptions have devolved into just personal stories haven't they? (Hidden in Snowy)
Ice Cream | effortless | [Hidden in the Yoyleland Realm]
Ice Cube Jr. | effortless | [Hidden in the Yoyleland Realm]
Ice Woody | effortless | how did they combine the two? (Hidden in Snowy)
Icey | effortless | basically ice cube but a fine lady (Hidden in Snowy)
Jaiden | effortless | woof (Hidden in Hotel)
Knife | effortless | [Hidden in the Yoyleland Realm]
Leafy | effortless | trees are cool. (Hidden in Goiky)
Long Pencil | effortless | [Hidden in the Yoyleland Realm]
