== BARREN DESERT ==

Bag of Sand | easy | hmm yes bag of sand
Bow And Arrow | easy | next to some other bows
Cheese Orb | easy | cheese orb is in the game. peace has been restored
Churro | easy | yeah
Curly Arrow | easy | no way!!!!! real!!!
Magic Conch | easy | look near where conch shell was in the main realm
Sand Clock | easy | look in one of those buildings
Can of Black Olives | normal | look around the map
Cardboard | normal | he's doing stuff n' things
Cheese Slice | normal | look in the abandoned hamlet
Ellipsis | normal | this one is at...
Firey Jr. Jr. | normal | at this point you can't even SEE him
Hazelnut | normal | hazelnut :DDDDD
Johnson | normal | the johnson is real
Robot Woody | normal | [insert robot screaming]
Wicker Basket | normal | there's a rusty building, look inside of it
Bacon Bit | hard | is it controbersial to say that i don't like bacon? it tastes.. awful
Fire Melon | hard | this melon is on fire!!!
Potato | hard | find some potatoes lying around
Think Emote | hard | this may require you to THINK about it
Toffee | hard | i have never heard of toffee before in my life
Virtual Pet Lizard | hard | find a wonky looking cactus
5 Yen Coin | extreme | donut is looking a little different today
Hashy | extreme | complete the obby near spawn!
Oyster | extreme | check the ceiling
Softball | extreme | there's a giant cactus, i think you can see it..
Fernandez | insane | reach towards the sun
Ice Bracelety | insane | ice in the desert? how does that make any sense
Pan Flute | insane | IT'S IN THE GOSH DARN WALLS!!!!
Sierpinski | terrifying | uhm.. what??? also, look under the map
Sponge Cake | terrifying | 1... 2... 3... 4... who do we? not adore? spongy!!! spongy!!! spongy!!!
Deep Fried Breath | strenuous | find yourself somewhere unprecedented
You Tried Star | strenuous | complete the four trials
Hot Cheese Puff | remorseless | find an encrypted message
