== INVERTED REALM ==

pen pog | hard | poggers
Penny | hard | the start of a new journey
Robot Loser | hard | somewhere isolated
VR Headset | hard | put on these glasses and you'll enter the world of the game
Mango | difficult | what do you think mangoes are from?
Box | difficult | there is definitely no key under that box
Box of Free Puppies | difficult | they're on sale in the steakhouse, which doesn't make sense now that i'm saying it
Coffin | difficult | classic egyptian stuff
Elevator | difficult | too bad it doesn't work
Folder | difficult | cons of being a folder: naming yourself con
Friesland | difficult | they sure do love their fries... and land (Made by AccountDoesNothing)
Liberty Bell | difficult | who told bell about the US of A
Meester Tweester | difficult | inside the pyramid
Pomegranatey | difficult | get noob!! pomegranate gonna do anything
Red Balloony | difficult | weee
Scarfy | difficult | check behind one of the classic trees (Made by lowk3y_TJ)
Slingshot | difficult | based
Toxic Mushroom | difficult | this guy and toxic bomb would be great pals
Zero Dollar Bill | difficult | it's worth not even a penny
Cube | extreme | cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube
Jello | extreme | he works with brain damage
Pink Cary | extreme | NO WAY IT'S PINK CARY HIMSELF!!!
Ribbon | extreme | i'll take my award for best-looking R in this realm
Specimum Sandwich | extreme | all alone up there
Yellow Pancake | extreme | got squished in the pyramid
Backpack | unforgiving | how is this even possible
Gramophone | unforgiving | in the inverted number playground house
Max | unforgiving | i don't have any words
Mouse Trap | unforgiving | jump from a window
Obsidian | unforgiving | i literally dare you to find out where this one is
Pesticide | unforgiving | me when there is a substance used for destroying insects or other organisms harmful to cultivated plants or to animals in my body
Sickle | unforgiving | they're hanging on for dear life
Steel Drum | unforgiving | i promise this will be a very creative description uh uhhh
Stringy | unforgiving | fall down twice, that's all
City of LAy | insane | does this imply that inverted realm is more than a thousand times bigger than the city of LA? and the player too???
Frame | insane | i honestly have no idea what this is supposed to be (hey guys it's me jade it's a keyframe from adobe animate)
Hyper | insane | what the fart is this
Ink | insane | gross
Ottoman | insane | the sick man of the inverted realm
Toothbrush | insane | that is not a genuine smile. they know exactly what they did. (Made by lowk3y_TJ)
Demon Ball | dreadful | AAAAAA SCARY MAN!!!!!!
Gold Block | dreadful | complete a timed obby after finding a button somewhere (Made by 0OFunkyPurple)
Jabuticaba | dreadful | do the gold block obby but uh... you're going the wrong way (Made by lowk3y_TJ)
Piece of Glass | dreadful | look near princess flower (Made by cluxser2)
Princess Flower | dreadful | impressive obby skills!
Toxic Bomb | dreadful | find a message and decode it
[Loading Object] | terrifying | Please wait while we process your chosen object.
Checkered Flag | terrifying | find an invisible platform
Geocache | terrifying | in the inverted jungle
Desert Pillar | arduous | start by exploring in the inverted jungle, then go to the area where toxic bomb is located (Made by 0OFunkyPurple)
