== MAGMA CANYON ==

Bababa | normal | i love myself some bababas
Block Party | normal | IT'S HIM!!!!!! (Character is owned by illuminite06)
gas can | normal | I HATE WHEN MY GAS CANS
Spongy's Mother | normal | so... does this make spongezilla spongy's father?
Turkey | normal | Will this realm EVER get any good content? Find out next time on Find the BFB Characters the Totally Real Series that Definitely Exists!
Flour | hard | unrelated but i know what you did 5 minutes ago
Mr. Feet | hard | i hate everything about this
Pizza | hard | after AGES... after objects like pizza jr and cookie pizza... after millions of pizza rcs... WE  GET PIZZA IN GAME AS OBJECT!!!!
Shoe | hard | 1 2 buckle my... wait what is tha
wax slitly weathered cut copper stairs | hard | special thanks to Noobie_Sonic2 for this incredible idea
Meatball | extreme | infinite meatballs
Na | extreme | should i make davidland a realm? hmm, na.
refsbcj | extreme | sfdaasdjojfnjadlcxzqo
Robot Puppet | extreme | how could they do this to my man puppet!!!!
Shrimp Tempura | extreme | tasty
ca2 | insane | i don't know what this means but surely it means something
Cardy | insane | they love cards
Erlenmeyer | insane | oh boy this one sure is so much fun
Dynamite | strenuous | The way you get this one is genuinely deranged I'm sorry (Made by SleepyyXavier)
