

== MAIN REALM ==

=== CANDYLAND ===

Birthday Cake | effortless | happy birthday! (it isn't your birthday) [Hidden in Candyland]
Cream Cookie | effortless | there is a very obvious way up at candyland
Purple Girl with Wind Hair and Angry Eyes | effortless | best character in bfb moment (Hidden in Candyland)
Candy Corn | hard | i am the ONLY ONE who actually likes candy corn???? (Start in Candyland)
Chocolate Chip | hard | find a code at candyland
Chocolate Pop | hard | this is literally just cake pop 2 (Hidden in Candyland)
Jawbreaker | hard | find a way onto a lollipop (Hidden in Candyland)
Sundae | hard | nice and fresh, i sure hope it doesn't fall over (Hidden in Candyland)
Boom Mic | intermediate | (Start  in Candyland)
Chef David | intermediate | aw seriously? another david? (Hidden in Candyland)
Milli Book | intermediate |  (Start in Candyland)
Cake Pop | extreme | what a lovely day innit bruv (Start in Candyland)
Frozen Yogurt | insane | Start in Candyland
Mocha | extreme | do i need it? (Start in Candyland)
Puffball Speaker Box | extreme | it's cake at STAAAAAAAAAAAAA (Start in Candyland)
Red Mushroom | extreme |  (Start in Candyland)
Strudel | extreme | there is so little detail on this that it doesn't even resemble a strudel anymore (Start in Candyland)
Vanilla Milkshake | extreme | i don't care what anyone has to say, vanilla is the goat (Start in Candyland)
Air Freshener | extreme | they just want to freshen the air... or the void i guess (Hidden in Candyland)
Jellybean Jar | dreadful | that's a nice jar of jellybeans there (Made by lowk3y_TJ) (Hidden in Candyland)
Sharp | terrifying | honey, you okay? you'VE haRd1y t0ucHed YOur !(%!^*@!^! (Start  in Candyland, drop down)
Poison Cake | strenuous | aka "Poise" (Located in Candyland)

=== CITY ===

American Flag | effortless | this donut shop is america-certified. LAND OF THE FREEE BABY!!!!!!!! (Hidden in City)
Basketball | effortless | seems like someone has been shooting some hoops (Hidden in City)
Book | effortless | In the City - where would you be most likely to find an annoying know-it-all?
Camera | effortless | filmin and stuff (Hidden in City)
Chalk | effortless | hmmmmm (Hidden in City)
Fries | effortless | i cant belive he managed to get his own resturant! (Hidden in City)
Gelatin | effortless | tbh his resturant is much better then fries' (Hidden in City)
Shopping Cart | effortless | shopping for stuff! (Hidden in City)
Sotp Sign | effortless | JUST STOP IT. (Hidden in City)
Traffic Cone | effortless | these inanimate objects are getting out of hand (Hidden in City)
Announcer | easy | flying with his ufo! (Hidden in City)
Avocado | easy | blending in! (Hidden in City)
Baby | easy | WAHHHH!!! WAHHHH!!!!! I NEED MILK!!!!!!!!!!! (Hidden In City)
Bozo | easy | hiding behind a vase (Hidden in City)
Car Door | easy | good thing you can't thlam your- (Hidden in City)
Dane | easy | hey (Hidden in City)
Donut | easy | being served as food... wuh oh (Hidden in City)
Konpeito Jar | easy | excuse me, a what jar?? (Hidden in City)
Lamp Post | easy | "i'm seeing double!" that was  their last word (Hidden in City)
Loser | easy | sitting in his throne. (Hidden in City)
Mochi | easy | mochji (Hidden in City)
Rose | easy | bumblebees are out! (Hidden in City)
Tape | easy | they're in a "sticky" situation! im not funny (Hidden in City)
Wish | easy | get up there and make a wish! (Hidden in City)
Balloony | normal | try jumping off of a high building to it (Hidden in City)
Bottle | normal | yoo check out that big R! (Hidden in City)
Butter | normal | This is Butter. From This game. (Hidden in City)
Car Engine | normal | vroom (Hidden in City)
Drinky Bird | normal | Hidden in City
Kabab | normal | look beneath fries' table (Hidden in City)
Rocky | normal | Can someone PLEASE help him get out!? He's being a pest. (Hidden in City)
USB | normal | look behind a tree, not just any tree though (Hidden in City)
Barf Bag | moderate | Contemplating life: multifaceted in many ways yet following a pattern. Amidst a wave of ingenuity, compassion, creativity, and an ever increasing population of souls destined to part from this mortal plane or live on forever as memories. Life can best be defined as a dance of ideals and limitations. Nobody is perfect; neither you or me or ANYONE in this whole planet can call themselves flawless. While we may fight for our beliefs, it is important to remember that we all share the same basic components and should respect the beliefs of others instead of fighting because of them. Why barf bag of all objects to contain such a description like this? I don't know, I just felt like it. Expect more of these in the future I guess. Since you read all of this, Barf Bag is located on one of the museum's pillars. You'll need to get on top of the Library to reach. (Hidden in City)
Cheesy Mayo | moderate | it's mayo... but CHEESY OOOokay so now it makes sense why they are right next to a dumpster (Hidden in City)
Four Plush | moderate | why wont people buy him?? (Hidden in City)
King Pen | moderate | you were probably expecting me to make king pen one of the hardest objects in the game, but no all you get is a normal difficulty (Hidden in City)
Spray Bottle | moderate | (Start in City)
VHSy | moderate | go back to the 80's where you belong! (Hidden in City)
Waffle | moderate | todays menu! waffle..? (Hidden in City)
Wallet | moderate | gee, sure hope no one will steal this wallet in the headquarters! (Hidden in City)
Bready | intermediate | me when the uhhh errr uhhh ummm bread (Hidden in City)
Fortune Cookie | intermediate | someone dropped them on the floor (Hidden in City)
Genderfluid Book | intermediate | should have made this during pride month darn (Hidden in City)
Spoony | intermediate | why would you use them anyway? (Hidden in City)
Among Us X | hard | HI GELATIN (Start in City)
Cat | hard | taking stuck on a tree to the next level (Start in City)
Eggy | hard | behind a shelf in the city
English Cream Cake | hard | on top of a fridge somewhere (Start in City)
Fridge | hard | that's it? IT'S JUST A FRIDGE?? (Start in City)
Gear | hard | this definitely grinds my gears (Hidden in City)
Yellow Face | hard | what do you use to film? (Start in City)
Blue Square | difficult | look in somewhere purple (Start in City)
Lily | difficult | where am i!! (Start in City)
Image | difficult | find a way into the factory room
Bead | extreme | that_beadyboi (Hidden in City)
Bomby Plush | extreme | on the ceiling (Hidden in City)
Income Tax Return Document | extreme | just thinking about their life decisions... (Start in City)
Microwave | extreme | chilling at the worst possible spot (Start in City)
Poker Chip | extreme | something red... (Hidden in City)
Bubble | insane | oh lord why do i love invisible platforms so much. (Start in City)
Laser Pointer | insane | not exactly the most ideal place to be (Start in City)
Pride Cat Firey | insane | rawr nya X3 (Start in City)
