== POLLUTED MARSHLANDS ==

Hamburger | hard | [Hidden in Polluted Marshlands]
Soul Cube | hard | [Hidden in Polluted Marshlands]
Blueberry Cupcake | extreme | [Hidden in Polluted Marshlands]
Clothy | extreme | [Hidden in Polluted Marshlands]
Poppy Seed Roll | extreme | [Hidden in Polluted Marshlands]
Blob of Syrup | insane | [Hidden in Polluted Marshlands]
Branchy | insane | [Hidden in Polluted Marshlands]
China | insane | [Hidden in Polluted Marshlands]
Mojito Glass | insane | [Hidden in Polluted Marshlands]
Pink Lemonade | insane | [Hidden in Polluted Marshlands]
Starfruit | insane | [Hidden in Polluted Marshlands]
Austrian Shield | insane | [Hidden in Polluted Marshlands]
Dragonman | terrifying | [Hidden in Polluted Marshlands]
Soy | terrifying | [Hidden in Polluted Marshlands]
Theebs | terrifying | [Hidden in Polluted Marshlands]
Torso | terrifying | [Hidden in Polluted Marshlands]
Cat Witch | strenuous | [Hidden in Polluted Marshlands]
