== SAKURA SERENITY ==

Bonsai | hard | this does not resemble a bonsai in the slightest
Bugspray | hard | there are bugs all over them
Grapefruit | hard | what a peculiar fruit this is
k | hard | this is truly a k moment
Planter | hard | check inside of one of the houses
Robot Saw | hard | wouldn't a robot saw just be a chainsaw?
Autumn Leaf | extreme | one of these trees is off...
Bamboo | extreme | look in a bush
Bean Can | extreme | BEANS!!!!!!!
Butters | extreme | delicious (Made by Just_Summa)
Horn | extreme | they're standing on a paifang
Locket | extreme | climb onto a spike
Snickerdoodle | extreme | wait... this is a REAL thing???
Taiyaki | extreme | on a tree
Chocolate Circle | insane | find a way onto one of the bigger structures
Davidy | insane | first roboty-y, now this???
Humorous Hummus | insane | quite humorous indeed
Plant | insane | why are there two plants in the same realm??
Red Leaf | insane | don't worry it isn't evil leafy.. i think
Spikey | insane | look for a hole.. (Made by Fireballz_37)
Non-Slip Shoes so Ha | terrifying | true fashion
oMg | terrifying | yep, that sure is a thing
Red crayon who is also blue but probably isn't green | terrifying | you heard the name (find five pieces of codes around the map)
Wildy | terrifying | ooooooooooooo swwwwirllllyyyy
? | strenuous | ?
Moon | remorseless | find a way to make it become midnight..
