== TIMBER PEAKS ==

Peanut Butter Jar | difficult | hey that's weird, do i taste peanut butter?
S'mores | difficult | i guess you could say you guys want S'MORE objects!!!!... this is why i don't make puns
Vasey | difficult | yeah, that sure is a vase
Wasabi Chips | difficult | wasabi does not approve of these chips
Biscuit | extreme | oh, biscuits...
Cough Drop | extreme | cough... cough...
Dough | extreme | dough... dough...
Algodoo Marble | unforgiving | it's behind a crate
Chips | unforgiving | you may find yourself somewhere unexpected...
Frog | unforgiving | i had every excuse in the world to make this about frog jumping but i didn't, are you guys happy?
Yoyle Spoon | unforgiving | no, please erase this from my memory
Mous.V | insane | it's in plain sight, but there's no way to reach it...
Square Root | insane | beneath a platform
Stump | insane | get to the top of the mountain
Thermometer | insane | man, it's hot up here! wait, that doesn't even make any sense...
Vinyl Record | insane | the viewing of this record is prohibited
Candle | dreadful | look for a faint light
Cheeseburger | dreadful | i wonder how you could get into that barn at spawn?
Spammy | dreadful | they're IN YOUR WALLS.
Network Cable Tester | terrifying | NCCNNCNNNCCNCCCCNCCCNCCCNCCNCCCN
Dot | arduous | .
Nutty | arduous | NUTTY!!!!!!!!!!! nutty nutty nutty nutty nutty nutty nutty nutty nutty
PUMPKIN 2.0 | arduous | Find a mechanical pumpkin somewhere.
Virus | arduous | start in the basement, you'll be able to find something important there.
