== YOYLEFACTORY ==

Yoylefactory is divided into four major sections: Normal Factory, Abandonment (Lights Out), Meltdown, and Out of Bounds.

-- NORMAL FACTORY --

Coolboy | extreme | only 0.01% of people can find him
Elephant | extreme | someone has GOT to address this
FRIENDY+ | extreme | wow he's such a good friend i dont know im really trying with these descriptions okay
Mattress | extreme | they're sleeping somewhere...
Phantastrophy | extreme | the fog is coming the fog is coming the fog is coming the fog is coming the fog is coming the fog is coming the fog is coming the fog is coming
Base Charger | unforgiving | you need to charge your mental capacity
Coffee Mug | unforgiving | tea is better
Diamond | unforgiving | must suck having no limbs... and not being a circle
Paint Bucket | unforgiving | he's been up to some mischief
Seedling | unforgiving | there's a seed growing in a box
Teabag | unforgiving | bell 2
Text Message | unforgiving | did you get your bogos binted? wait what
Glowstick | insane | find a strange light source
Juice Box | insane | take a sip
Maroon Ball | insane | wrong colored ball try again
MousePad | insane | hint: it's NOT at a computer
owoball | insane | i regret nothing
Pugsley | insane | dont be fooled, they have 72 charges of murder in the 1st degree
Graphics Card | dreadful | to the 2% of people who actually play ftbc on a computer, this is a certified hood classic
Raisin | dreadful | this is grape's dying grandfather
White Board | dreadful | there is a secretive room in the factory...
Wizard Hat | dreadful | you're a wizard now
Gaming Device | arduous | find 10 buttons around the factory, then return to a doorway

-- ABANDONMENT (LIGHTS OUT) --

Block of Glass | insane | SHATTER SOUND
Hanheld | insane | abandonment.
Piano | insane | who is out here playing the piano
Popsicle | insane | a snowball in july?!
Stickynotes | insane | one of the last few living things in the abandoned half of the facility..
Aura Sphere | dreadful | it looks like it could be an interdimensional portal that teleported an airline on two pieces of camera footage from 2014
DUMMY3 | dreadful | look for z-fighting
Leafmote | dreadful | who recommended this and why did you recommend it
Lithium | dreadful | find lithium bars
MissingYes | dreadful | what did you do to the yes
Mouse Guy | dreadful | this description is pretty... CHEESY!!!!!! LOL!!!!! hlep me pl
Stylus | dreadful | i think we have too many variations of a pen
Among Us Four | terrifying | stuck in the vents for the rest of eternity
Gaming Controller | terrifying | click the power button of a computer that is acting strange...
RAM Chip | terrifying | look underneath a platform

-- MELTDOWN --

Ace of Clubs | unforgiving | do you think this card likes to groove? (Made by AccountDoesNothing)
Delicious Fruit | unforgiving | mmm..... delicious.... (Made by AccountDoesNothing)
Four's Uncle Craig | unforgiving | hey craig
Watermelon | unforgiving | look below
Electrostatic | insane | find a way to destroy something suspicious. (Made by Cadalac8999)
Rubber Ball | insane | find a small button on top of a cog (Made by 0OFunkyPurple)
Trashbag | insane | find a pack of trashbags laying around which are... weirdly small. (Made by NTailsGoBrrrrr)
Candy Wrapper | dreadful | i love making normal looking objects absurd difficulties (Made by lowk3y_TJ)
Spatula | dreadful | find a burger, then find a grill (Made by NTailsGoBrrrr)
-8 Ball | terrifying | start where electrostatic is (Made by NTailsGoBrrrrr)
Button | terrifying | use shiftlock near a large cog (Made by lowk3y_TJ)
Ampersand | arduous | don't ask how the algebraliens are able to teleport to different realms, it just happens (Made by lowk3y_TJ)
Money Bag | strenuous | start by finding a broom. sweep up some unneeded stuff. (Made by This_manisnothim)

-- OUT OF BOUNDS --

Missing Texture Block | terrifying | it can't be an ftbc realm without an object that requires clipping out of bounds
Font | arduous | font
Blue Screen of Death | strenuous | YOUR PC RAN INTO AN ERROR AND NEEDS TO RESTART. RESTART. RESTART. RESTART. RESTART. RESTART. (Made by NTailsGoBrrrrr)
Ground | strenuous | this is the face of someone who has seen it all
