== YOYLELAND ==

Boombox | effortless | buy our new leafy detector
Eyes in the Dark | effortless | ooo spoopy eyes
Hand-Powered Recovery Center | effortless | this isn't really an animate object but okay
Ice Cream | effortless | lick lick
Ice Cube Jr. | effortless | making the water cooler
Knife | effortless | hiding in a bush... i think?
Long Pencil | effortless | why did i add this? because i can
Orange | effortless | hmm i dont know about you guys but i dont think he appreciates classification gasconading
Grape | easy | In the top left corner of the map.
Lewis | easy | i ain't giving up.. I AIN'T GIVING UP!!!! there's cake at stake lewis!!!
Lollipop Plush | easy | hidden in the allyways of yoylecity
Pandora Book | easy | Hiding behind a building somewhere...
Swappy | easy | i have no idea what to put here (pun intended)
Unpainted Gaty | easy | this is gaty, but unpainted... yeah idk what to say
A Tree | moderate | yeah, just a tree and nothing else
Carrot Cake | moderate | CARROT CAKE!!!
Choo Choo The Train | moderate | CHOO CHOO!
Dreartop | moderate | SHEEESH! HE GOT DAT DRIP THOUGH
Metal Ball | moderate | get to the top of the summit
Runner Up | moderate | on the "second" light on the tower
Aloe Vera | normal | how can it grow here? just like pin said too little sun
Blue Gelatin | normal | how creative...
Brownie | normal | how does a brownie even stick to the wall like that?
Stop Light | normal | find a stop light
Fish Cracker | intermediate | who's ready to go swimming?
Lasery | intermediate | oh maybe they shouldn't have done that
Paragraph | intermediate | removed the old description because it sucked badly
Sketchpad | intermediate | hanging off a platform as if he's some kind of god
Yoylelite | intermediate | for one of the rarest minerals in the entire universe, they don't seem like that
Beehive | hard | look inside a tree
Dragon Scale | hard | hidden in one of the hundreds of yoylebushes...
Pi | hard | well, what does pi equal?
Pill | hard | robot firey obby
Shower | hard | 
Stabby | hard | stuck on the tower..
Yoyle Soda | hard | yoyle (Hidden on the windows)
Bicycle Wheel | difficult | it's near lasery, that's all i'll tell ya.
Daffodil | difficult | look for grass
Kennel | difficult | find a way into one of the yoyle city buildings...
Piano Key | difficult | inside of fancy shop
Evil Price Tag | extreme | get on top of a roof
Ink Ball | extreme | at an area of the map where probably no one will check
Poison Marker | extreme | this isn't find the markers i swear
Robot Firey | extreme | complete an obby... or just frog jump depends if you suck at parkour
Swordy | extreme | same deal as stabby
Bolf Gall | unforgiving | this one's for vextono
Match Box | unforgiving | it's exactly where you think it is
Paint Drop | unforgiving | somewhere of its color...
Robot Leafy | unforgiving | look underneath robot firey
Squeaky Hammer | unforgiving | there has to be a way on top of the matchstick factory...
Wasabi | unforgiving | find an invisible path near lasery
Frog Four | insane | get it? because you have to "frog" jump onto a building for it? nobody clapping?
Sky | insane | THE SKY IS LITERALLY FALLING
IV Bag | dreadful | factory
Lipstick | dreadful | find a way upstairs in the stupid pets building. that's the real name lol
Mangosteen | dreadful | hidden in a blade of grass, oh no not again...
Vacuum | dreadful | cleaning on the side of a tower yeah thats completely natural
A BFDI | arduous | don't you wanna battle to win a prize?
Spongezilla | arduous | there has to be a way up that tower...
Fax Machine | strenuous | start in a bfdi's area
A BFDIA | remorseless | real
